record_id,machine_id,machine_type,temperature_c,vibration_mms,running_hours,pressure_bar,sound_db,status
50,M020,Motor,72.91,5.067,6385.6,5.527,74.88,Warning
51,M015,Motor,47.69,2.669,3143.8,3.327,53.34,Normal
52,M018,Pump,88.56,3.782,4603.8,5.397,74.83,Warning
53,M016,Conveyor,70.49,1.855,2783.2,4.149,67.53,Normal
54,M004,Conveyor,77.81,3.187,762.2,4.007,65.2,Normal
55,M020,Fan,61.67,2.08,349.0,3.984,70.91,Normal
56,M015,Fan,76.21,6.316,6674.4,4.795,88.66,Warning
57,M016,Conveyor,61.75,3.345,4033.8,4.08,69.98,Normal
58,M014,Compressor,80.72,7.051,4343.8,4.988,77.53,Warning
59,M016,Fan,71.81,4.436,6226.9,5.671,88.93,Warning
60,M002,Motor,52.66,2.125,1227.8,3.366,63.38,Normal
61,M008,Conveyor,66.72,2.875,3406.1,4.333,69.62,Normal
62,M010,Compressor,81.01,3.466,541.2,3.685,64.6,Normal
63,M002,Fan,86.69,7.119,7535.6,5.455,77.13,Warning
64,M002,Motor,63.46,0.874,1841.1,3.147,71.9,Normal
65,M009,Compressor,58.49,3.562,2422.2,4.006,74.81,Normal
66,M018,Motor,90.73,10.151,6273.0,5.181,91.05,Fault
67,M020,Fan,50.44,3.055,3245.6,3.819,71.18,Normal
68,M013,Conveyor,60.79,4.072,3410.7,3.499,66.7,Normal
69,M012,Compressor,59.47,3.676,4250.1,3.133,70.05,Normal
70,M020,Pump,48.52,1.556,4889.0,3.75,56.83,Normal
71,M020,Pump,85.68,7.477,7988.2,5.141,83.17,Warning
72,M014,Fan,43.02,1.622,2246.1,3.242,64.95,Normal
73,M001,Pump,71.73,3.178,2126.1,3.113,69.09,Normal
74,M020,Fan,51.73,2.808,2114.6,3.706,57.82,Normal
75,M015,Conveyor,63.25,1.762,2170.6,3.95,67.11,Normal
76,M019,Fan,58.7,3.095,2075.3,4.252,73.57,Normal
77,M005,Conveyor,52.47,1.545,4291.3,3.109,74.22,Normal
78,M009,Pump,94.95,13.135,6483.2,5.843,82.94,Fault
79,M007,Conveyor,85.85,5.436,4877.1,5.278,84.21,Warning
80,M015,Conveyor,54.95,3.458,563.2,3.48,64.3,Normal
81,M010,Compressor,73.44,3.336,1437.0,3.049,63.69,Normal
82,M014,Pump,84.32,3.653,4536.2,4.439,80.65,Warning
83,M012,Pump,61.65,0.759,2185.1,3.696,58.46,Normal
84,M012,Compressor,87.95,4.418,3965.7,5.116,81.94,Warning
85,M019,Fan,49.38,4.066,1568.3,3.443,66.91,Normal
86,M003,Fan,60.27,2.991,2917.8,4.135,68.98,Normal
87,M015,Pump,129.66,13.93,10032.5,5.294,94.73,Fault
88,M020,Pump,90.69,5.647,3381.7,4.207,76.43,Warning
89,M005,Motor,54.65,2.876,3292.3,2.991,67.16,Normal
90,M003,Conveyor,117.78,7.485,6501.8,7.647,94.86,Fault
91,M018,Fan,44.02,2.752,3840.8,2.856,64.44,Normal
92,M015,Fan,51.57,3.837,2221.1,3.713,60.72,Normal
93,M010,Conveyor,64.17,2.52,802.5,3.188,73.32,Normal
94,M006,Motor,56.05,2.459,4076.4,3.135,67.58,Normal
95,M003,Motor,50.66,1.779,500.3,3.805,60.15,Normal
96,M001,Motor,93.01,8.129,9630.6,6.754,91.11,Fault
97,M016,Fan,59.39,3.398,2858.5,3.853,60.84,Normal
98,M017,Fan,40.96,4.116,215.6,3.524,63.93,Normal
99,M011,Compressor,50.65,2.692,4017.3,2.965,74.66,Normal
100,M007,Pump,57.32,1.551,1997.7,3.957,66.72,Normal
101,M012,Conveyor,72.76,3.536,4521.3,3.352,77.72,Normal
102,M018,Motor,76.49,3.745,6347.8,4.651,78.39,Warning
103,M009,Pump,96.26,11.803,6723.8,6.778,98.69,Fault
104,M019,Pump,65.07,2.37,4718.0,3.246,69.74,Normal
105,M016,Fan,81.47,6.459,4352.2,4.513,83.16,Warning
106,M003,Motor,66.43,3.08,2786.1,3.262,57.07,Normal
107,M005,Compressor,123.38,7.033,7827.4,6.108,108.43,Fault
108,M003,Compressor,101.24,6.718,5186.5,5.079,78.32,Warning
109,M002,Pump,116.4,8.871,5804.8,7.531,89.35,Fault
110,M003,Fan,65.37,3.421,2888.0,3.147,67.35,Normal
111,M019,Motor,112.88,12.845,7161.3,6.589,92.86,Fault
112,M015,Conveyor,60.64,1.889,2973.4,3.38,72.04,Normal
113,M015,Pump,53.94,1.206,486.0,3.22,60.4,Normal
114,M017,Conveyor,66.04,2.317,115.7,4.161,69.12,Normal
115,M016,Motor,60.11,3.151,2131.9,4.229,66.22,Normal
116,M009,Fan,88.54,4.545,8033.2,4.783,82.65,Warning
117,M005,Motor,69.62,2.306,736.6,4.258,56.6,Normal
118,M019,Motor,56.17,0.811,1689.3,3.135,58.25,Normal
119,M019,Fan,48.94,1.558,2410.0,3.5,66.36,Normal
120,M014,Compressor,62.89,3.425,4612.2,4.121,72.32,Normal
121,M006,Conveyor,74.08,2.159,1762.5,3.874,72.32,Normal
122,M010,Compressor,75.4,2.445,2379.6,3.478,72.65,Normal
123,M005,Motor,45.16,3.513,396.6,4.032,62.73,Normal
124,M002,Fan,48.25,2.168,498.5,3.673,63.84,Normal
125,M016,Conveyor,92.41,6.344,4444.3,4.924,78.15,Warning
126,M002,Conveyor,94.06,5.195,6758.3,4.989,77.41,Warning
127,M017,Conveyor,73.83,1.847,2497.1,3.065,75.75,Normal
128,M020,Conveyor,73.93,2.942,436.7,3.785,64.61,Normal
129,M010,Fan,118.05,7.861,8187.5,6.956,88.59,Fault
130,M010,Motor,110.28,8.238,5631.6,5.192,96.2,Fault
131,M008,Fan,67.48,1.731,2208.4,3.772,57.43,Normal
132,M007,Fan,56.2,3.917,2242.0,2.754,58.28,Normal
133,M001,Compressor,70.03,1.126,1726.6,2.914,71.67,Normal
134,M014,Motor,75.81,1.877,4289.7,3.873,58.75,Normal
135,M017,Compressor,72.52,1.557,17.0,2.822,63.1,Normal
136,M004,Pump,95.74,5.005,6860.6,5.664,72.82,Warning
137,M013,Conveyor,82.54,5.602,7311.2,4.152,80.49,Warning
138,M017,Compressor,62.72,1.9,2821.0,3.613,70.27,Normal
139,M017,Motor,64.95,2.111,1504.7,3.029,61.52,Normal
140,M013,Compressor,59.78,1.772,393.7,3.58,64.91,Normal
141,M019,Fan,48.72,2.207,4531.1,3.03,72.58,Normal
142,M008,Fan,48.21,2.164,2368.5,3.464,62.96,Normal
143,M007,Motor,51.38,0.913,4313.7,3.728,53.66,Normal
144,M011,Motor,68.26,2.252,3584.3,3.974,62.6,Normal
145,M002,Fan,84.01,15.584,9743.7,7.099,105.19,Fault
146,M020,Conveyor,68.92,1.33,2628.6,3.35,62.36,Normal
147,M006,Pump,124.53,11.885,6342.9,6.874,85.9,Fault
148,M003,Pump,79.32,4.989,5823.2,4.005,73.65,Warning
149,M017,Pump,56.07,3.07,3453.2,3.775,58.99,Normal
150,M005,Conveyor,75.65,2.125,2788.3,3.42,76.88,Normal
151,M012,Pump,46.67,1.09,377.6,3.831,65.89,Normal
152,M006,Fan,59.84,1.81,3101.9,3.862,66.27,Normal
153,M001,Motor,55.41,3.006,512.9,2.949,58.03,Normal
154,M014,Conveyor,71.4,3.16,2792.1,4.248,65.46,Normal
155,M009,Conveyor,55.58,3.656,1796.2,4.137,74.43,Normal
156,M015,Motor,82.72,6.19,6196.9,4.839,74.09,Warning
157,M016,Fan,89.23,5.547,4429.2,5.207,78.81,Warning
158,M010,Pump,71.07,2.9,2075.7,3.431,62.37,Normal
159,M013,Fan,54.88,4.681,3410.5,3.498,73.56,Normal
160,M002,Fan,73.37,3.504,1999.3,3.825,76.05,Normal
161,M015,Motor,56.5,3.131,2878.0,3.659,61.99,Normal
162,M007,Fan,59.16,2.829,2228.8,3.972,64.83,Normal
163,M008,Fan,46.47,2.023,2780.3,3.982,63.42,Normal
164,M007,Compressor,60.79,2.938,3971.3,3.604,72.59,Normal
165,M011,Fan,104.68,11.697,5610.2,5.353,90.96,Fault
166,M012,Compressor,65.68,2.118,681.4,2.959,54.93,Normal
167,M011,Conveyor,65.61,4.097,4731.3,3.33,60.33,Normal
168,M008,Motor,45.06,1.489,1426.6,3.657,62.45,Normal
169,M018,Pump,120.79,9.87,6103.7,5.982,98.45,Fault
170,M008,Compressor,80.82,2.81,1761.4,3.784,70.11,Normal
171,M018,Compressor,64.44,3.087,1477.3,3.315,73.67,Normal
172,M005,Compressor,52.65,2.071,1251.4,3.832,63.32,Normal
173,M013,Fan,82.37,6.519,7405.3,4.678,83.71,Warning
174,M013,Compressor,100.55,6.678,5465.1,4.767,75.36,Warning
175,M015,Pump,51.35,3.342,2228.0,2.87,73.98,Normal
176,M012,Compressor,56.62,2.942,3638.7,3.821,66.07,Normal
177,M001,Motor,65.97,4.01,2126.2,2.994,54.85,Normal
178,M005,Pump,62.14,0.513,3236.7,3.188,68.9,Normal
179,M004,Fan,62.93,2.463,2119.3,3.706,60.26,Normal
180,M007,Fan,89.91,5.222,4923.5,4.871,85.42,Warning
181,M001,Motor,90.65,3.866,7424.3,4.786,75.58,Warning
182,M013,Fan,50.55,3.466,3798.7,3.365,64.49,Normal
183,M005,Fan,98.77,13.232,8878.5,6.507,99.03,Fault
184,M006,Pump,50.48,0.811,56.6,3.424,62.65,Normal
185,M004,Pump,81.53,4.75,5600.3,4.472,85.65,Warning
186,M004,Compressor,95.33,3.654,7417.2,4.331,80.8,Warning
187,M014,Compressor,86.11,5.734,6635.3,4.419,78.17,Warning
188,M010,Motor,49.39,2.391,40.4,2.854,63.15,Normal
189,M018,Compressor,56.28,3.768,118.5,3.689,66.4,Normal
190,M014,Conveyor,136.84,15.776,5821.5,5.218,90.93,Fault
191,M017,Compressor,72.15,2.263,2999.5,2.606,66.19,Normal
192,M007,Compressor,77.87,2.584,782.4,3.033,65.63,Normal
193,M006,Motor,69.91,2.962,200.2,4.04,57.97,Normal
194,M015,Fan,62.9,2.503,2313.5,3.928,59.27,Normal
195,M003,Fan,57.4,3.884,381.0,4.291,60.7,Normal
196,M014,Conveyor,112.0,10.446,7209.9,5.994,111.48,Fault
197,M018,Conveyor,48.49,2.11,690.1,2.795,78.96,Normal
198,M019,Fan,51.23,2.353,129.3,3.611,55.68,Normal
199,M006,Pump,54.54,1.046,2600.9,3.624,63.91,Normal
200,M011,Motor,74.38,0.853,3494.1,4.374,62.29,Normal
201,M003,Pump,53.97,1.191,2620.1,2.476,71.65,Normal
202,M004,Fan,118.48,16.306,6902.5,7.379,94.34,Fault
203,M011,Compressor,133.53,10.658,9337.0,6.736,92.72,Fault
204,M019,Pump,81.79,4.871,7094.2,4.867,81.16,Warning
205,M003,Motor,57.16,1.599,1232.4,2.924,60.87,Normal
206,M004,Conveyor,71.47,3.049,3781.8,3.118,67.87,Normal
207,M006,Pump,86.95,6.654,3485.0,4.839,81.06,Warning
208,M018,Fan,49.06,2.388,1181.9,2.701,68.34,Normal
209,M007,Pump,46.9,1.07,1437.6,2.832,71.54,Normal
210,M015,Pump,55.64,1.898,1114.4,3.179,56.84,Normal
211,M018,Pump,67.44,3.013,2084.8,3.463,72.45,Normal
212,M020,Compressor,81.72,6.725,3845.7,4.815,91.27,Warning
213,M020,Motor,50.21,2.868,3947.3,2.794,65.36,Normal
214,M005,Compressor,68.83,2.801,4740.9,3.001,57.06,Normal
215,M019,Fan,54.39,2.087,2037.2,3.418,70.8,Normal
216,M010,Motor,52.5,2.52,3551.3,2.641,69.1,Normal
217,M007,Conveyor,55.74,3.526,3722.0,3.874,73.53,Normal
218,M007,Compressor,76.58,1.719,2324.3,3.76,69.88,Normal
219,M020,Conveyor,55.96,3.671,2925.4,3.094,61.93,Normal
220,M008,Compressor,95.42,6.15,3104.1,4.948,82.22,Warning
221,M009,Conveyor,72.22,3.813,2292.6,2.999,70.23,Normal
222,M010,Motor,63.99,2.212,1705.6,3.259,57.77,Normal
223,M002,Fan,52.59,2.767,690.2,2.837,59.94,Normal
224,M018,Conveyor,91.9,6.832,5512.1,5.288,88.72,Warning
225,M006,Motor,88.41,4.405,4077.2,5.113,76.02,Warning
226,M016,Compressor,66.87,3.674,1900.1,3.157,60.64,Normal
227,M011,Compressor,76.56,2.466,3156.5,2.876,69.0,Normal
228,M014,Conveyor,59.13,5.528,23.2,3.455,69.75,Normal
229,M012,Motor,46.89,2.043,2937.8,2.777,64.8,Normal
230,M012,Compressor,108.45,15.314,9054.1,5.181,90.6,Fault
231,M013,Motor,89.19,5.884,6017.9,4.283,72.57,Warning
232,M001,Motor,56.85,0.979,2628.7,3.375,64.72,Normal
233,M020,Compressor,76.15,3.718,4928.4,3.098,63.55,Normal
234,M019,Conveyor,52.91,1.568,2577.1,3.839,61.61,Normal
235,M002,Motor,54.26,2.815,2149.8,2.99,65.43,Normal
236,M012,Motor,81.22,5.534,7698.5,4.267,71.78,Warning
237,M006,Pump,57.51,2.36,4071.3,3.692,60.56,Normal
238,M014,Conveyor,46.2,2.103,1550.7,3.316,69.17,Normal
239,M020,Pump,61.17,2.922,2435.5,3.507,70.51,Normal
240,M006,Pump,69.09,1.381,1649.4,3.114,62.91,Normal
241,M016,Conveyor,59.79,4.314,3756.5,2.558,69.64,Normal
242,M015,Motor,53.53,0.915,1106.0,3.225,60.04,Normal
243,M011,Motor,69.21,3.731,1474.7,3.606,64.77,Normal
244,M013,Compressor,112.8,15.039,8511.1,4.874,91.95,Fault
245,M005,Conveyor,97.62,12.909,7866.8,5.793,103.01,Fault
246,M011,Fan,70.83,2.635,3061.7,3.605,64.41,Normal
247,M017,Motor,90.31,5.948,4554.1,4.766,78.28,Warning
248,M018,Motor,63.87,3.014,2770.6,3.663,67.44,Normal
249,M004,Pump,60.06,0.653,283.6,3.12,68.65,Normal
250,M020,Fan,65.64,3.783,2784.3,2.903,66.19,Normal
251,M011,Fan,86.38,14.029,5952.3,6.753,100.99,Fault
252,M007,Motor,84.38,7.334,3379.0,5.335,81.39,Warning
253,M015,Compressor,52.89,3.626,2993.8,3.613,71.53,Normal
254,M017,Compressor,64.74,2.538,463.5,3.066,64.66,Normal
255,M001,Pump,93.23,4.942,7450.3,5.311,82.31,Warning
256,M012,Fan,116.84,10.777,5208.2,7.52,94.19,Fault
257,M007,Conveyor,69.26,2.001,4200.5,4.056,76.03,Normal
258,M009,Fan,55.49,3.794,4577.4,3.242,65.29,Normal
259,M002,Pump,81.89,5.967,4388.4,5.267,81.26,Warning
260,M018,Motor,92.35,4.272,6325.2,5.569,79.38,Warning
261,M020,Conveyor,62.83,4.354,1512.3,3.63,76.21,Normal
262,M019,Pump,72.62,3.278,4989.5,3.55,66.14,Normal
263,M008,Pump,52.98,0.654,974.7,3.553,62.21,Normal
264,M014,Motor,83.22,4.132,6709.0,5.147,75.56,Warning
265,M005,Fan,76.52,6.582,6164.0,4.831,85.81,Warning
266,M018,Conveyor,88.92,4.917,4941.7,5.2,84.66,Warning
267,M020,Compressor,74.27,1.387,794.0,3.196,70.94,Normal
268,M007,Fan,68.78,2.72,2345.8,3.326,55.77,Normal
269,M018,Fan,44.54,3.44,1844.9,3.556,68.61,Normal
270,M017,Compressor,66.91,1.766,2601.9,3.208,58.11,Normal
271,M016,Conveyor,53.08,1.755,4158.7,2.75,60.18,Normal
272,M020,Fan,110.61,15.223,8755.3,6.681,106.44,Fault
273,M019,Compressor,68.63,2.5,835.4,3.759,76.35,Normal
274,M020,Pump,79.41,9.534,5972.5,5.042,74.61,Warning
275,M014,Fan,50.45,4.172,3451.0,3.544,76.44,Normal
276,M008,Pump,52.33,3.191,2017.2,3.025,67.22,Normal
277,M012,Pump,49.34,2.543,1259.2,3.709,59.41,Normal
278,M009,Motor,61.44,3.222,2000.4,3.006,62.83,Normal
279,M018,Fan,85.59,7.101,3840.0,5.306,75.52,Warning
280,M013,Fan,60.62,2.434,4867.8,3.059,70.43,Normal
281,M020,Fan,56.87,2.195,862.2,2.806,59.96,Normal
282,M003,Pump,88.46,7.495,5757.5,5.13,75.94,Warning
283,M018,Pump,57.34,1.482,585.0,3.632,57.91,Normal
284,M015,Fan,89.7,6.294,4354.6,4.722,81.77,Warning
285,M009,Compressor,87.05,5.649,6761.2,4.848,83.88,Warning
286,M008,Compressor,102.2,4.799,4029.7,4.73,81.24,Warning
287,M018,Pump,90.27,4.695,4608.9,5.67,80.94,Warning
288,M014,Conveyor,87.04,1.357,1738.8,3.84,72.97,Normal
289,M012,Fan,65.41,2.127,1302.1,3.213,73.32,Normal
290,M019,Compressor,81.74,3.276,4088.5,3.543,70.1,Normal
291,M017,Fan,81.5,7.646,4576.9,5.043,77.98,Warning
292,M018,Fan,68.57,2.362,99.0,2.799,70.32,Normal
293,M017,Conveyor,74.51,2.555,386.3,3.384,65.41,Normal
294,M011,Compressor,60.71,3.195,3512.0,3.857,63.51,Normal
295,M001,Compressor,72.46,3.058,4791.1,3.889,58.97,Normal
296,M009,Fan,44.67,3.402,4488.1,3.39,63.78,Normal
297,M011,Conveyor,89.49,7.174,7603.0,4.788,78.72,Warning
298,M012,Conveyor,59.37,3.713,2209.6,3.408,60.98,Normal
299,M016,Conveyor,54.99,3.556,4021.4,3.527,73.55,Normal
300,M003,Conveyor,68.91,2.816,4057.1,3.543,71.46,Normal
301,M004,Conveyor,67.85,2.165,3119.4,3.115,59.98,Normal
302,M016,Compressor,63.08,1.961,3962.7,4.428,61.83,Normal
303,M016,Compressor,55.87,3.366,4092.1,3.794,60.04,Normal
304,M007,Conveyor,58.15,4.173,4622.0,3.128,74.11,Normal
305,M007,Pump,51.07,1.852,76.3,3.88,63.86,Normal
306,M016,Pump,62.68,1.483,4870.4,3.802,55.84,Normal
307,M012,Conveyor,72.01,1.396,1866.8,3.757,61.77,Normal
308,M020,Fan,44.77,2.786,2258.0,3.704,66.09,Normal
309,M020,Compressor,58.22,1.079,4858.2,4.07,59.86,Normal
310,M005,Compressor,77.1,1.679,2396.4,2.776,67.2,Normal
311,M003,Pump,72.94,1.104,2402.9,3.93,54.96,Normal
312,M002,Pump,70.82,0.739,1090.1,3.623,59.05,Normal
313,M018,Conveyor,68.26,3.644,2892.4,3.585,68.79,Normal
314,M011,Fan,124.23,10.132,6765.8,6.76,93.15,Fault
315,M015,Conveyor,78.65,1.424,178.3,3.243,60.62,Normal
316,M018,Fan,82.87,8.027,3801.2,4.172,77.78,Warning
317,M007,Pump,62.52,2.705,858.5,3.913,66.41,Normal
318,M012,Conveyor,81.66,7.284,7342.3,4.56,83.01,Warning
319,M005,Motor,54.54,1.502,250.8,3.858,59.24,Normal
320,M002,Fan,53.08,1.844,2533.2,3.695,59.41,Normal
321,M008,Compressor,79.81,6.346,4593.5,5.598,75.74,Warning
322,M015,Fan,43.78,1.644,4010.9,3.154,63.77,Normal
323,M010,Pump,81.3,6.054,4453.4,4.764,73.27,Warning
324,M013,Fan,65.86,3.032,1267.7,2.655,61.37,Normal
325,M012,Pump,45.69,3.09,3221.0,3.405,60.31,Normal
326,M001,Pump,99.0,10.649,6718.8,5.908,84.28,Fault
327,M009,Conveyor,97.76,7.898,3139.9,4.902,76.1,Warning
328,M008,Fan,46.29,4.45,4572.6,3.085,65.3,Normal
329,M017,Compressor,88.56,7.317,6743.4,5.041,84.24,Warning
330,M014,Conveyor,58.42,3.616,4130.1,3.772,72.92,Normal
331,M020,Compressor,69.87,1.839,128.6,3.004,72.11,Normal
332,M014,Pump,74.09,3.386,1119.4,3.957,57.92,Normal
333,M008,Conveyor,81.25,4.163,6608.9,4.628,84.11,Warning
334,M002,Compressor,86.37,5.315,6660.3,4.937,84.1,Warning
335,M014,Motor,56.96,0.991,2618.9,3.203,69.98,Normal
336,M006,Conveyor,62.86,3.277,989.1,3.568,61.31,Normal
337,M012,Pump,58.7,1.719,3965.3,3.271,68.27,Normal
338,M002,Conveyor,54.51,3.918,4732.1,3.497,63.14,Normal
339,M001,Fan,68.05,2.3,2945.5,3.716,62.18,Normal
340,M012,Pump,47.3,0.612,2897.7,3.806,60.59,Normal
341,M019,Fan,44.12,3.023,2887.0,4.222,56.59,Normal
342,M009,Motor,57.93,2.348,3430.6,3.904,54.71,Normal
343,M010,Conveyor,118.56,10.551,7520.0,7.512,93.34,Fault
344,M001,Pump,90.17,12.549,5589.3,7.013,103.73,Fault
345,M010,Motor,64.12,1.636,2527.8,3.151,54.08,Normal
346,M016,Pump,63.68,1.84,3183.2,3.896,65.76,Normal
347,M011,Fan,75.96,5.889,6424.4,5.374,89.13,Warning
348,M020,Pump,69.69,2.589,3547.6,3.335,57.36,Normal
349,M004,Motor,62.32,3.157,4604.8,3.802,53.21,Normal
350,M017,Compressor,80.1,4.1,4951.7,5.663,72.71,Warning
351,M010,Pump,61.06,1.511,4439.9,3.36,59.1,Normal
352,M007,Fan,50.45,2.457,710.5,3.767,60.71,Normal
353,M002,Pump,53.72,0.708,1942.3,3.924,69.46,Normal
354,M015,Fan,43.64,3.79,4532.1,3.445,65.05,Normal
355,M012,Conveyor,50.86,4.059,1665.9,4.217,66.43,Normal
356,M013,Pump,52.61,2.273,3990.7,3.262,60.33,Normal
357,M019,Conveyor,91.0,5.704,7018.9,4.89,76.86,Warning
358,M006,Motor,90.3,3.838,3572.3,5.301,79.14,Warning
359,M001,Compressor,122.33,12.133,6422.2,7.082,92.54,Fault
360,M003,Fan,79.06,15.066,7085.9,5.732,92.16,Fault
361,M001,Compressor,85.8,6.165,6141.6,5.322,75.92,Warning
362,M005,Compressor,48.19,3.039,719.4,4.329,72.04,Normal
363,M014,Fan,44.89,3.256,2713.1,3.398,63.23,Normal
364,M002,Fan,55.15,2.582,2866.1,4.423,56.11,Normal
365,M020,Pump,49.16,2.346,3264.3,3.617,66.34,Normal
366,M011,Conveyor,56.27,4.056,1465.9,3.154,70.18,Normal
367,M010,Fan,39.52,3.199,633.3,3.097,70.17,Normal
368,M012,Compressor,54.24,3.059,2433.1,4.247,76.67,Normal
369,M013,Compressor,122.78,13.378,5844.5,6.465,100.89,Fault
370,M008,Conveyor,118.92,10.341,6422.6,6.26,98.71,Fault
371,M018,Motor,69.25,2.152,4564.4,3.966,59.12,Normal
372,M011,Compressor,55.18,0.939,42.3,2.88,67.51,Normal
373,M002,Fan,60.84,4.331,4800.0,3.955,71.2,Normal
374,M009,Motor,53.38,3.189,3224.5,4.21,56.18,Normal
375,M013,Conveyor,76.59,4.543,7740.5,4.57,81.35,Warning
376,M015,Motor,43.72,1.046,2846.9,3.059,57.32,Normal
377,M013,Fan,68.12,6.218,6899.3,4.982,76.53,Warning
378,M012,Motor,62.87,1.703,3144.0,4.407,55.42,Normal
379,M002,Conveyor,61.3,2.22,1938.8,3.079,72.19,Normal
380,M018,Motor,55.6,3.588,4090.1,4.221,51.68,Normal
381,M018,Compressor,75.34,1.726,358.2,3.85,66.11,Normal
382,M004,Conveyor,87.36,6.728,3294.0,5.495,79.1,Warning
383,M013,Motor,73.06,6.305,5739.0,4.777,81.92,Warning
384,M008,Fan,41.68,1.924,4241.6,3.85,70.27,Normal
385,M014,Conveyor,92.71,4.865,6237.1,5.008,76.3,Warning
386,M001,Fan,45.52,1.862,2618.1,3.072,66.34,Normal
387,M005,Conveyor,60.7,1.858,4541.4,2.806,65.3,Normal
388,M001,Conveyor,61.12,1.381,1186.0,3.601,68.95,Normal
389,M014,Compressor,62.19,1.843,2332.6,3.614,75.43,Normal
390,M005,Pump,66.48,0.697,688.0,4.256,61.12,Normal
391,M006,Fan,70.19,4.056,434.2,3.982,64.92,Normal
392,M019,Compressor,72.1,3.668,2064.2,2.851,75.86,Normal
393,M016,Compressor,50.14,3.372,3472.0,3.463,61.17,Normal
394,M015,Conveyor,67.43,3.598,2033.2,4.038,65.71,Normal
395,M014,Motor,60.07,2.539,2907.6,3.119,66.2,Normal
396,M002,Motor,50.53,2.84,3548.7,3.47,65.44,Normal
397,M007,Compressor,82.78,7.48,5414.0,4.837,72.96,Warning
398,M012,Pump,49.29,3.225,436.1,3.471,58.77,Normal
399,M001,Motor,52.76,2.812,4662.3,3.58,61.24,Normal
400,M011,Conveyor,59.68,3.633,4264.3,3.562,66.51,Normal
401,M002,Compressor,83.82,6.477,3863.2,5.202,83.52,Warning
402,M005,Conveyor,52.27,1.794,2835.0,2.866,65.1,Normal
403,M016,Compressor,73.36,3.768,775.6,4.589,70.6,Normal
